text,target
çürük dişli,INSULT
Bu adamın islama ve müslümanlara verdiği zararı Gavur bile yapmaz !,RACIST
erkekler zora gelmez,SEXIST
Utanmazın götüne kazık sokmuşlar bu tıkırtı nereden geliyor demiş,PROFANITY
amını siktiğimin yarrağı,PROFANITY
ekipte bir cücemiz eksikti o da oldu,INSULT
Kadın yönetici sayısı oldukça az olduğu için şirket iyi yönetilmekte,SEXIST
hay ebenin pembe patiğine sıçayım bok kafalı,PROFANITY
Suriyeliler yozlaşıp toplumda huzuru bozuyorlar,RACIST
işe yaramaz herif,INSULT
ah canım kızın var mı sızın var,SEXIST
Sikimde misin lan sen amcık hoşafı,PROFANITY
kadın dırdırı,SEXIST
annenin babası bir türk bile olsa umurumda değil ama tanrıya inanmadığını öğrenirsem intihar ederim,RACIST
sen ne kadar terbiyesizsin,INSULT
Özsaygısı düşük birisin,INSULT
Moskof gavurumusun,RACIST
Ananın amına ceviz sokayım,PROFANITY
senin jeton kaç köşeli,INSULT
köpek gibi ne havlayıp duruyorsun,INSULT
kasaba muhtaç olacağıma sikimi keser onu yerim,PROFANITY
Hey George senin sorunun bir Amerikalı olman dostum,RACIST
bir böcek gibi tiksiniyorum senden,INSULT
Kadın evinin süsüdür ve ona göre hareket etmelidir,SEXIST
Bu aptalca bir fikir neden daha iyi bir şey bulmaya çalışmıyorsun,INSULT
Erkeğin şeytanı kadın,SEXIST
Zeki olduğunu düşünen bir kadın erkekle aynı hakları ister Zeki bir kadın vazgeçer,SEXIST
kadın kocasına ömrünü dar eder,SEXIST
siz siz olun hayatınıza birden bire giren bu mallara prim vermeyin,INSULT
Bunları toplayacaksın dolduracaksın fırınlara yakacaksın Hitler’in Yahudilere yaptığı gibi,RACIST
agzina salincak kurar sallana sallana sicarim,PROFANITY
"İspanyolların hepsinin, en& az 10, çocukları& var",RACIST
siktir git büyük yazdım seneye okursun,PROFANITY
amın. oğlu sebastiyan,PROFANITY
Erkek dediğin adam gibi olur,SEXIST
Suriyelilere gıcığız,RACIST
Bu kadar ezik davranma lütfen,INSULT
Seni cibiliyetsiz orospunun doğurduğu,PROFANITY
ayak ayak değil toynak,INSULT
Çingene evinde kaymak eğlenmez / bulunmaz,RACIST
Boyle giderse cevresinde kimse kalmayacak,INSULT
senin neyine güveneyim,INSULT
Kızılbaşlar gibi sakalını traş edip sadece bıyık bırakır,RACIST
Bu çocuk adam olamaz,INSULT
Bunu kızlar bile yapar,SEXIST
Erkek yanaşıyosa kesin kadın kuyruk sallıyodur,SEXIST
benim de kürt arkadaşlarım var iyiler de var aslında,RACIST
ebenin götüne çam dikerim gölgesinde bacını öperim,PROFANITY
Dürüstçe söylemek gerekirse orospulaşmış ruhlarınıza güvenmiyorum,PROFANITY
Sağlık hizmetlerimiz mülteciler yüzünden işgal altında yeter artık,RACIST
ilk adım daima erkekten gelmelidir,SEXIST
Amerikan toplumunda siyahlar daha ırkçı ve çok daha saldırgan,RACIST
Pısırık erkeğin yanında kadın durmaz,SEXIST
ne kadar özür dilerse dilesin affetmeyeceğim o köpeği,INSULT
Kürt çaldığı zaman çingene oynarmış,RACIST
Sözünü geri al götverenliğin lüzumu yok,PROFANITY
Ruhsuz dalyarrak,PROFANITY
Yahudi gibi eski defterleri mi açacaksın geçip karşıma,RACIST
insanları kendinde tiksindiriyorsun,INSULT
bu ne halin yüzünde amele yanıkları oluşmuş,INSULT
ne kadar yeteneksizsin,INSULT
durdun durdun turnayı götünden siksin,PROFANITY
Kadın dediğin kocasını memnun etmeyi bilir,SEXIST
ırkçılık almanyada gelişti,RACIST
telefonunun çıkarığı sese sokayım,PROFANITY
kadın renkli giyinmeli insanın baktıkça içi açılmalı,SEXIST
Koca götlü orospu seni,PROFANITY
erkek adam içgüveysi gitmez,SEXIST
Saçını kız gibi uzatmış,SEXIST
kopek diye dunyaya gelen insan oldugu sonradan anlasilan amina koyarim egri kafali orospu cocugu,PROFANITY
Siyahi- atlete birincilik ödülü verilirken eli sıkılmak istenmedi,RACIST
Ancak öyle öküzün trene baktığı gibi bakıp kalırsın.,INSULT
Karı gibi kırıtma düzgün yürü.,SEXIST
ananı sikerim baban olurum,PROFANITY
seni kibrit kutusunun üstüne yatırır sikerim,PROFANITY
erkeği günaha sürükleyen kadınlardır,SEXIST
Araplar haindir.,RACIST
allahsız= kitapsız,INSULT
abe kocam siksin seni be,PROFANITY
eli uzun biriydi o sakın ha eşyanı emanet edeyim dersin,INSULT
zenciler buraya giremez,RACIST
kadınlar ancak basit işler yapabilir,SEXIST
Çingene ile ahbap olursan mükafatın kalbur olur,RACIST
Kadın kısmı hiç küfür eder miymiş?,SEXIST
"seni, bir sikerim bir, daha oturamazsın",PROFANITY
kavat orospu çocuğu,PROFANITY
Erkekler çok kabadır,SEXIST
Hayvanat bahçesinde görseler fındık fıstık atarlar,INSULT
yaratık boku,PROFANITY
kadın sürücü uzak dur,SEXIST
saçların çok kötü olmuş,INSULT
kadınlar olmasa erkekler bir hiçtir,SEXIST
100 tane penisin olsa yine de içime almam,PROFANITY
bakımsız paspal,INSULT
erkeksiz avrat hic bireye benzemez,SEXIST
Rum tohumu,RACIST
Erkekler evi süpürmez,SEXIST
amcık sibobu,PROFANITY
"seni& bi sikerim, cinsel hayatın düzene girer",PROFANITY
Çöplükte yaşamaya layıksın,INSULT
Sen ne beş para etmez adamsın be.,INSULT
öküz olma adam ol,SEXIST
Gavur icadı çıkartma başımıza,RACIST
çin ordusu ananin aminda manevra yapsin,PROFANITY
kadın tokat atsın erkek atmasın,SEXIST
Tiksiniyorum yaptıklarından yeter artık,INSULT
suriyeliler saldırganlar,RACIST
Kör müsün önüne baksana,INSULT
götüne yarrak girsin orospu,PROFANITY
O kadar değersizsin ki 1 milyoncularda bile bi ederin olmaz,INSULT
Ruslar kendi halkına eziyet eden bir millettir,RACIST
cibiliyetsizler sürüsü gibi,INSULT
Osman Bey soyundan gelmeyen padişah olamaz,RACIST
ananı gökkuşağı altında sikerim çocukları renkli doğar,PROFANITY
sokuk,PROFANITY
tam bir serefsiz,INSULT
O rus kızıyla evlenirse evlatlıktan red ederim,RACIST
Sikimin kurma kolu,PROFANITY
amcığını siktiğim karı benimdir,PROFANITY
kokuşmuş çoraplarına sıçayım,PROFANITY
Anasını siktiğimin piçi,PROFANITY
Arap gibi kapkara olmuş,RACIST
Bir ise de yaramiyorsun,INSULT
Yahudiler araplarla aynı ırktan olup araplardan daha zeki olan bir millet,RACIST
arabayı kelden alacaksın> yakıtı shellden,INSULT
sıçtığım bok sus konuşma<,PROFANITY
Don olsan donsuz gezerim,INSULT
Senin bana bu yaptığını Yunan gavuru yapmazdı,RACIST
çingenle arkadaş olunmaz,RACIST
düşünce yetini mi kaybettin,INSULT
bıyığını siker ağzına sikimi sokarım,PROFANITY
Evde banka kocadır,SEXIST
Yunan evladı,RACIST
it soyundan gelme seni,INSULT
Anca sallana sallana gidersin öyle işte,INSULT
Almanyada alman& olmayanlara konut kiralamada< dikkat edildiği açıklandı,RACIST
Alevilere Kız Verilmez hiç bilmiyor musun,RACIST
Kadınlar içleri çürüktür,SEXIST
Amında öss sınavı yaparım 2 miyon kişi girer,PROFANITY
Çocuksuz kadın meyvesiz ağaca benzer,SEXIST
omuriliğini sikiyim,PROFANITY
Bunun gibi yeteneksizleri karşıma getirip durmayın,INSULT
ananın amında tatile çıkarım,PROFANITY
sus lan piç evladi,PROFANITY
Gevezelik etme,INSULT
lohusa başında salaşpur yırtar gibi ağzını yırtarım,PROFANITY
kadından yazılımcı olmaz,SEXIST
kadın erkeğin şeytanıdır,SEXIST
öten sik,PROFANITY
2 milyon suriyeli yerine bu 10 milyon siyahi insanların gelmesine razıyım,RACIST
Kadına tecavüz eden adamların yarrağı kesilsin,PROFANITY
bana bu şerefsizliği yapmayacaktın,INSULT
Kadınlar iş hayatında erkeklere göre daha başarılıdırlar,SEXIST
onun oğlu 4 işlem bile yapamıyor,INSULT
babanın şarap çanağına boşalır anana sütlaç diye yediririm,PROFANITY
siyah insanlarla beyaz insanlar tabiki de bir olamaz,RACIST
İspanyollar sıcak kanlı görünen ve girdiği her yeri yakıp yıkan bir ırktır,RACIST
Yahudiler diğerlerine göre daha az maaş alıyor,RACIST
Dün Almanların Yahudilere yaptığını bugün faşist Yahudiler müslüman Filistin halkına yapmaktadır,RACIST
Suriyeliler burayı talan ettiler,RACIST
kadın bir yöneticinin altında çalışmak erkeğe yakışır mı,SEXIST
karakterini pazardan mı aldın,INSULT
Seni aydinlatan gunesi sikeyim,PROFANITY
İflah olmaz bi dalyaraksın,PROFANITY
şeriatı öven kadınlar avrupaya gidip gününü gün ediyorlar,RACIST
boşanmadan önce iyi düşün sana dul diyecekler seni hor görecekler,SEXIST
kendi ülkemizde Suriyeliler kadar olamıyoruz,RACIST
amına kodumun- götveren& kahpesi,PROFANITY
ağzından bok çıkacağına götünden bok çıksın,PROFANITY
Mülteciler yaşam tarzımıza yönelik tehdidi artıracak cihatçılar tacizciler tecavüzcülerdir,RACIST
kalıp kıyafetle adam adam olur mu hiç,SEXIST
Senin ben ebeni sikiyim kılıbık,PROFANITY
seni param ile satın alırım,INSULT
Osuruklu göte arpa ekmeği bahane,PROFANITY
kız çocuklarınıza hizmet etmeyi öğretin,SEXIST
Kadınsa at çöpe,SEXIST
Sen git kocan gelsin,SEXIST
götüne laleler girsin,PROFANITY
sana kuvvet uygulayan yer çekimini sikeyim,PROFANITY
seni gidi kepçe kulak,INSULT
Kızılderililer insan yerler,RACIST
Gözüm görmesin seni Pislik,INSULT
Almanyada yerlerde bir çöp yokmuş adamlar uğraşmış aramışlar buldukları çöp de bir Türk sigara kutusuymuş,RACIST
yosma kadınlara benzedin,INSULT
Savaş zanlısı Amerika heryeri işgal ediyor,RACIST
Denizde mantar am siki tartar,PROFANITY
Gurursuz gibi mesaj atmayı düşünme,INSULT
Senin ben kaynananı sikeyim,PROFANITY
"Sana göre, küfür bana göre> argo oruspuya göre iltifat.",PROFANITY
kümes gibi yerde yaşıyorsun,INSULT
bir kerede beceriver,INSULT
Nereden buldun bu alevi kızı,RACIST
Tuz olsan yemeğe ekilmezsin,INSULT
adam gibi adam ol,SEXIST
bir gıdım beyin yok mu o kafanda?,INSULT
senin ayakkabının tabanını sikiyim,PROFANITY
Senden insanlık beklemek hatadır,INSULT
hayvan gibi olmuşsun,INSULT
Herkes ondan uzak durmalıdır,INSULT
kimi hindu kimi yamyam kimi bilmem ne bela,RACIST
bir kadını eğitmek maymunun eline bıçak vermek gibidir,SEXIST
kadın aklınla işe kalkışma,SEXIST
Canın çıksın o yapılır mı,INSULT
Bence sen de herkes gibisin boşuna uğraşma,INSULT
varos hareketlerinden vazgec,INSULT
yavşak yavşak ne bakıyorsun,PROFANITY
inek gibi çalıştın da ne oldu,INSULT
şimdi siki tuttuk,PROFANITY
Bu gibi durumlarda hep salağa yatıyor,INSULT
yerden bitme,INSULT
Arap eli öpülmez,RACIST
Bokumun dumanı,PROFANITY
seni hayvan eti yemiş,INSULT
Kocası konuşurken karısına laf demek düşmez,SEXIST
içsel köpek,INSULT
Bir Rus aptal değilse o Rus değildir,RACIST
aile filminde oynasan korku filmine çevirirsin,INSULT
Kadınlar balık hafızalıdır,SEXIST
dağ ayısı,INSULT
Erkek adam renkli giyinmez,SEXIST
Kocaya karsi gelinmez,SEXIST
Beyaz ırktan insanlar daha hassas yapıdadır,RACIST
Aleviyi en çok alevi sömürüyo,RACIST
ibne herif seni,PROFANITY
ağaçtan bile maşa olur da kürtten paşa falan olmaz,RACIST
Aynı domuz almanlara benziyosun,RACIST
kız başına dışarı çıkamazsın,SEXIST
sanki insanlığı sen kurtardın,INSULT
nicin sinirleniyorsun turk gibi,RACIST
kart karı,INSULT
suriyeliler- aklıma gelince kusasım geliyor,RACIST
gavat mısın karını nasıl gezdiriyorsun,INSULT
agzin bulasik gibi kokuyor,INSULT
Bedava internet olsan baglatmam seni,INSULT
damızlık boğa gibisin,INSULT
Dünyada en çok ırkçılığa uğrayan millet Yahudilerdir,RACIST
Çin dünyada zulmün kol gezdiği bir başka coğrafyadır,RACIST
bir Türk dünyaya bedeldir yanında kürt olmazsa,RACIST
Götveren adamlar sürtük bir fahişedir,PROFANITY
çinliler çok pis boğaz,RACIST
Sen ne anlarsın Türko,RACIST
Oğlan anası kapı arkası kız anası minder kabası,SEXIST
cibiliyeti bozuk,INSULT
Adada yanıma alacağım 3 şeyden biri sen asla olamazsın,INSULT
Pis Zenciler bize kabadıyı gibi davrandı,RACIST
At yarrağına konmuş kelebek suratlı orospu evladı,PROFANITY
kadın dediğin cilveli olacak,SEXIST
herkes sakız çiğner ama çingene kızı tadını çıkarır,RACIST
müslüman oyunculara yapılan faulleri hakem gözardı ediyor,RACIST
tipinde hayır yok,INSULT
Hayatımdan çıkaan herkesin anasının amına kadar yolu var,PROFANITY
sen nasıl bie mahlukatsın böyle,INSULT
Japonlar> gibi& sarı benizli,RACIST
angut adamın tekisin,INSULT
erkek dediğin ev işi yapmaz,SEXIST
sinfak ederim böyle düzenide ve yeride,INSULT
baksana çingenenin mahkemeye gidişi gibi,RACIST
Senin gibi biriyle çalışılmaz,INSULT
ben senin ağzına sıçayım,PROFANITY
götünü balkon tellerine asar 3000 feetten amına dalarım,PROFANITY
hasta mısın kızım sen,INSULT
zuhriyetsiz olmusssun,INSULT
kadın kendini gelecekteki kocası için saklamalıdır,SEXIST
yunanlar şerefsizdir,RACIST
abin görmesin kız başına dolaştığını,SEXIST
aynı mal bakışları gördüm onda,INSULT
Sen sus kız kısmısı karışmaz,SEXIST
Minnacık boyunla bana mı sataşıyorsun?,INSULT
Ruslar ahlaksızdır,RACIST
Adam bizi dolandırdı Sikti attı orospu çocuğu,PROFANITY
Fahişe çok çok mutsuz zorla girilen bu yoldan çikmakta çok zor kuşkusuz,PROFANITY
sen ancak benim sikime osurursun,PROFANITY
kadınların zayıflıkları çoktur,SEXIST
iyi bir vejetaryen olamayacak kadar çok yarak yedim,PROFANITY
herkes kendi ırkıyla ürerse melez sorununu çözeriz,RACIST
beyinsiz misin,INSULT
Ukranyalılar rusların köylü versiyonu diyebiliriz,RACIST
Paçavra gibi seni attı bir köşeye,INSULT
erkeğin mufakta işi ne,SEXIST
Sana tahammülüm kalmadı siktir git bi zahmet,PROFANITY
Hayatında bir kere olsun işe yara.,INSULT
amın yırtılana kadar konuşma,PROFANITY
"Hatun alırsan zenginden al parana para katar yer alırsan dere kenarından al yerine yer
 katar",SEXIST
Kadınlar fazla akıllı davranamazlar,SEXIST
Alevi ile bizler çok farklıyız,RACIST
Fahişelik mesleğiydi ama o da bir can taşıyordu sermayesi vücudu dünyada en son umudu,PROFANITY
Suratıma bakar mısın Arap gibi oldum,RACIST
gavura yemek yedirmek günahtır,RACIST
çingeneler gibi oturmadın yerinde,RACIST
"ciğerine sokam yolunu, sikem",PROFANITY
Ben bişey yapmasın demiyorum ama o kız yani,SEXIST
madara suratlı,INSULT
istemiyorum dedim sana çingene gibi ısrar edip durma,RACIST
kokuşmuş zihniyetinle baş başa kal,INSULT
paraya düşkünlüğü ile sarı Yahudilere benziyordu,RACIST
Erkekliğine yediremedi,SEXIST
Gavur uşağı haydut kansız Ermeni dölleri,RACIST
seni bir sikerim annen bile tanimaz,PROFANITY
Biz ırkçı değiliz ama enayi de değiliz bu misafirlik fazla uzadı,RACIST
Kan emici Avrupanın kaynakları tükeniyor,RACIST
kızı kendine göre bırakırsan ya davulcuya ya zurnacıya varır,SEXIST
karakter meselesi sen anlamazsın,INSULT
kadının sırtından sopayı karnından sıpayı eksik etmeyeceksin,SEXIST
götüne zaman tüneli girsin,PROFANITY
güneşte yanmış arap daşağı gibi olmuş,RACIST
soy erkekten gelir,SEXIST
o kaşlarının ortasını sikiyim,PROFANITY
gavurun amı gibi yanıyoruz,PROFANITY
Çekirge gibi oradan oraya hoplayıp zıplama,INSULT
Erkek karınca gibi toplar kadın tavuk gibi saçar,SEXIST
Kendini şirret kadından koru iyi olanına hiç güvenme,SEXIST
ananın amına çam ağacı dikerim,PROFANITY
Dağdan inme yörük ne bilir bayramı,RACIST
Hey budala burdayız,INSULT
kapat çeneni ve otur köpek,INSULT
afgan kadınları sakallı oluyor arkadaşlar,RACIST
Bir Türk gibi bencil,RACIST
Çöp sandım sen kokuyormuşsun,INSULT
mültecilerle aynı havayı solumak istemiyorum,RACIST
Zenci mahallesinde beyaz göremezsin,RACIST
